,*,e390,
,Aphekah,e4d5,Josh 15:53
,Apollonia,eb30,Acts 17:1
,Apollos,eb3e,Acts 18:24
,apostle,ebef,
,appear,e162,
,Apphia,ecf1,Phil 1:2
,appointed,e041,
,Appolyon,ecd7,
,Aquila,eb17,Acts 18:2
,Ar,e3a2,Num 21:15
,Arab,e4d6,Josh 15:52
,Arabia,eb77,Gal 1:17
,Arad_man,e3a3,1 Chr 8:15
,Arad_village,e3e7,Num 33:40
,Arah,e545,Josh 13:4
,Aram,e342,
,Aram_man,edb4,Gen 10:22
,Aram_Naharaim,eb72,Gen 24:10
,Aran,e0fa,Gen 36:28
,Ararat,edb5,Gen 8:4
,Arba,ebd3,Jos 21:11
,Archippus,ece7,Col 4:17
,Ard,e0ff,Gen 46:21
,Areli,efac,Gen 46:16
,Areopagus,ec35,Acts 17:19
,Aretas,eca6,2 Cor 11:32
,Argob,e495,Deut 3:4
,argument,e057,
,Arimathea,e34d,Matt 27:57
,Arioch,edb6,Gen  14:1
,arise,e322,
,Aristarchus,ec10,Acts 20:3
,Aristobulus,ebbc,Rom 16:10
,Arkites,edb7,Gen 10:17
,arm,e14e,
,armor,ebbd,
,army,e148,
,Arni,ec52,Luke 3:33
,Arnon,e2f5,Num 21:13
,Arodi,e168,Gen 46:16
,Aroer,e3c5,Num 32:34
,around,e31b,
,Arpad,e615,2 Kgs 18:34
,Arphaxad,ec53,Luke 3:36
,arrest,e25f,
,arrow,ecbf,
,Artemas,ec34,Acts 19:24
,Arumah,e56f,Judg 9:40
,Arvad,edb8,Gen 10:18
,Asa,ea5c,Matt 1:7
,Asaiah,e5f9,1 Chr 9:5
,Asaph,e5fa,1 Chr 9:19
,ascend,e322,
,Asenath,efad,Gen 41:45
,ash,ea90,
,ashamed,e05f,
,Ashan,e4d7,Josh 15:42
,Ashbel,efae,Gen 46:21
,Ashdod,e451,Josh 11:22
,Asher_land,e606,Josh 17:7
,Asher_man,ebde,Gen 30:13
,Asherah,e0bc,Exod 34:13
,Ashhur,ebdd,1 Chr 2:24
,Ashhur,ebdd,1 Chr 2:24
,Ashkelon,e452,Judg 1:18
,Ashkelon,e570,Judg 14:19
,Ashkenaz,edb9,Gen 10:3
,Ashnah,e4d8,Josh 15:33
,Ashtaroth,edba,Josh 9:10
,Ashtiroth_Karnaim,edba,Gen 14:5
,Ashur_land,e0ef,Josh 17:7
,Ashur_man,edbb,Gen 10:22
,Asia,eb6f,Acts 6:9
,ask,e061,
,Asriel,e3a4,Num 26:31
,Asshurites,e1ef,Gen 25:3
,Assir,e2bf,Exod 6:24
,Assos,eb20,Acts 20:13
,assurance,e070,
,Assyria,edbc,Gen 10:11
,Asyncritius,ebbe,Rom 16:14
,Atad,efaf,Gen 50:10
,Ataroth,e3c6,Num 32:3
,Ataroth_Addar,e465,Josh 16:5
,Ataroth_Shophan,e3c7,Num 32:35
,Athaliah,e616,2 Kgs 11:1
,Atharim,e3a5,Num 21:1
,Athens,eb07,Acts 17:15
,Attalia,eb31,Acts 14:25
,attendant,e150,
,author,e12c,
,authority,e034,
,avenge,ed0c,
,Avith,efea,Gen 36:35
,Avvites,e496,2 Kgs 17:31
,awake,ec54,
,away,e11e,
,Azekah,e42a,Josh 10:10
,Azel,e5fb,1 Chr 9:43
,Azmaveth_man,e5fc,1 Chr 9:42
,Azmaveth_village,e5c7,Ezra 2:29
,Azmon,e3da,Num 34:5
,Azor,ea6c,Matt 1:14
,Azotus,eb7e,Acts 8:40
,Azriel,e628,1 Chr 5:24
,Azrikam,e5fd,1 Chr 9:14
,Azzan,e3e2,Num 34:26
,Baal,ebbf,Rom 11:4
,Baal_Gad,e44b,Josh 11:17
,Baal_Hanan,e169,Gen 36:38
,Baal_man,e5fe,1 Chr 9:36
,Baal_Meon,e3c8,Num 32:38
,Baal_Zephon,e0bd,Exod 14:2
,Baalah,e4d9,Josh 15:29
,Baalath,e438,Josh 9:44
,Baanah,e488,2 Sam 4:2
,Baasha,e5cc,1 Kgs 15:16
,Babel,ea67,Gen 11:9
,baby,e0a6,
,Babylon,ea67,Acts 7:43
,backward,e325,
,bad,e17d,
,bag,e26f,
,Bakbakkar,e5ff,1 Chr 9:15
,Balaam,eca1,2 Pet 2:15
,Balah,e4d9,Josh 19:3
,Balak,ebff,Rev 2:14
,Bamoth_land,e3c0,Num 21:19
,Bamoth_man,e2f6,
,Bani,e600,1 Chr 9:14
,bank,ec55,
,banner,e2b1,
,baptism,e24a,
,baptize,e24a,
,Barabbas,e36d,Matt 27:16
,Barachiah,ea97,Matt 23:35
,Barak,ed02,Heb 11:32
,Barnabas,ec2f,Acts 9:27
,Barsabbas,eb69,"Acts 15:22,27"
,Bartholomew,e362,Matt 10:3
,Bartimaeus,e36b,Mark 10:46
,Basemath,edbd,Gen 26:34
,Bashan,e3a6,Num 21:33
,basket,e19f,
,Bathsheba,e4af,1 Kgs 1:11
,battle,e283,
,Bealoth,e4da,Josh 15:24
,bear,ecef,
,bear_with,e227,
,beast,e103,
,beat,e0e4,
,beautiful,ea4a,
,beauty,ea4a,
,because,e066,
,beckon,e040,Luke 5:7
,become_person,e83a,
,become_thing,e839,
,bed,e122,
,Bedad,e1ee,Gen 36:35
,Beelzebul,e335,Matt 10:25
,Beer,e3a7,Num 21:16
,Beer_Lahai_Roi,eef9,Gen 16:14
,Beerah,e629,1 Chr 5:6
,Beeri,edbe,Gen 26:34
,Beeroth,e42b,Deut 10:6
,Beersheba,edbf,Gen 26:33
,before,e107,
,beg,e21e,
,beginning,e231,
,behind,e116,
,Beker,efb1,Gen 46:21
,Bela_man,e1ed,Gen 14:2
,Bela_village,edc1,Gen 14:8
,believe,e06f,
,Believer,eb90,Acts 5:14
,bell,e0be,
,belt,e29d,
,Ben_Ammi,edc2,Gen 19:38
,Ben_Hadad,e453,1 Kgs 15:18
,Ben_Hinnom,e4db,Josh 15:8
,Ben_oni,e1a4,Gen 35:18
,Benaiah,e4b0,1 Kgs 1:8
,Bene_Berak,e59c,Jos 19:45
,Bene_Jaakan,e3db,Num 33:31
,Benjamin_land,e5cd,1 Kgs 15:22
,Benjamin_man,eb4b,Gen 35:18
,Beon,e3c9,Num 32:3
,Beor,eda3,Gen 36:32
,Bera,edc3,Gen 14:2
,Berea,eb13,Acts 17:10
,Bered_city,e2d0,Gen 16:14
,Bered_man,efb2,I Chr 7:20
,Beriah,efb3,Gen 46:17
,Bernice,eb9e,Acts 25:13
,beside,e117,
,best,e21f,
,Beten,e59d,Jos 19:25
,Beth_Anath,e4dc,Josh 15:59
,Beth_Arabah,e4b8,Josh 15:6
,Beth_Aven,e546,Josh7:2
,Beth_Baal_Meon,e547,Josh 13:17
,Beth_Barah,e571,Judg 7:24
,Beth_Dagon,e4b9,Josh 15:41
,Beth_Eden,e454,Amos 1:5
,Beth_Emek,e59e,Jos 19:27
,Beth_Ezel,e43a,Mic 1:11
,Beth_Haggan,e4fb,2 Kgs 9:22
,Beth_Haran,e479,Num 32:36
,Beth_Hoglah,e4ba,Josh 15:6
,Beth_Horon,e42c,Josh 10:10
,Beth_Jeshimoth,e3dc,Num 33:49
,Beth_Leaphrah,e491,Mic 1:10
,Beth_Markaboth,e59f,Jos 19:5
,Beth_Millo,e572,Judg 9:6
,Beth_Pazzez,e5a0,Jos 19:21
,Beth_Pelet,e4bb,Josh 15:27
,Beth_Peor,e423,Deut 3:29
,Beth_Shan,e4e7,1 Sam 31:10
,Beth_Shemesh,e4f9,Josh 21:16
,Beth_Shittah,e573,Judg 7:22
,Bethany,e349,Matt  21:17
,Bethel,edc4,Gen 12:8
,Bethesda,eba0,John 5:2
,Bethlehem,ea45,Matt 2:1
,Bethphage,e348,Matt 21:1
,Bethsaida,e340,Matt 11:21
,Bethuel_city,e1e0,I Chr 4:30
,Bethuel_man,e1a0,Gen 22:22
,Betonim,e548,Josh 13:26
,betray,e195,
,betrayal,e195,
,better,e09e,
,between,e118,
,Bezalel,e0bf,Exod 31:2
,Bezek,e574,Judg 1:4
,Bezer,e466,Deut 4:43
,Bible,e22c,
,Bidkar,e617,2 Kgs 9:25
,big,e120,
,Bigthana,e492,Esth 6:2
,Bilhah,eefa,Gen 29:29
,Bilhan,efeb,Gen 36:27
,Binea,e601,1 Chr 9:43
,bird,e25c,
,Birsha,edc5,Gen 14:2
,birth,e235,
,Bithynia,eb48,Acts 16:7
,bitter,ecd2,
,Biziothiah,e4bc,Josh 15:28
,black,eb86,
,blaspheme,e05b,
,blasphemy,e05b,
,Blastus,eb8d,Acts 12:20
,blemish,ed01,
,bless,e05c,
,blessed,ea21,
,blessing,e05c,
,blind,e192,
,blood,e087,
,blue,ecda,
,boast,e14b,
,boat,e265,
,Boaz,ea54,Matt 1:5
,body,e143,
,Bohan,e4bd,Josh 16:6
,Bokeru,e602,1 Chr 9:44
,Bokim,e575,Judg 2:1
,bone,e0b2,
,book,e22a,
,born,e235,
,bottom,e119,
,bound,e25f,
,bow,e210,
,bow_arrow,ecc8,
,bowl,e384,
,box,e29e,
,boy,e001,
,boys,e002,
,Bozkath,e4be,Josh 15:39
,Bozrah,efec,Gen 36:33
,branch,e246,
,brave,e196,
,bread,e05d,
,break,e0e1,
,breast,e2db,
,breastplate,ecd5,
,breath,ecee,
,breathe,ecee,
,bribe,ebdb,
,brick,eefb,
,bride,e015,
,bright,e21b,
,bring,e088,
