,*,E390,
,Asa,EA5C,Matt 1:7
,ascend,E322,
,Asenath,efad,Gen 41:45
,ash,EA90,
,ashamed,E05F,
,Ashan,e4d7,
,Ashbel,efae,Gen 46:21
,Ashdod,e451,Josh 11:22
,Asher_man,Ebde,
,Asherah,e0bc,Exod 34:13
,Ashhur,Ebdd,1 Chr 2:24
,Ashhur,ebdd,1 Chr 2:24
,Ashkelon,e452,Judg 1:18
,Ashkenaz,edb9,Gen 10:3
,Ashnah,e4d8,
,Ashtaroth,e429,Josh 9:10
,Ashteroth_Karnaim,edba,Gen 14:5
,Ashur_land,e0ef,Josh 17:7
,Ashur_man,edbb,Gen 10:22
,Asia,Eb6f,Acts 6:9
,ask,E061,
,Asriel,e3a4,Num 26:31
,Asshurites,e1ef,Gen 25:3
,Assir,e2bf,Exod 6:24
,Assos,Eb20,Acts 20:13
,assurance,E070,
,Assyria,edbc,Gen 10:11
,Asyncritius,Ebbe,Rom 16:14
,Atad,efaf,Gen 50:10
,Ataroth,e3c6,Num 32:3
,Ataroth_Addar,e465,Josh 16:5
,Ataroth_Shophan,e3c7,Num 32:35
,Atharim,e3a5,Num 21:1
,Athens,Eb07,Acts 17:15
,Attalia,EB31,Acts 14:25
,attendant,E150,
,author,E12C,
,authority,E034,
,avenge,ed0c,
,Avith,efea,Gen 36:35
,Avvites,e496,2 Kgs 17:31
,awake,Ec54,
,away,E11E,
,Azekah,e42a,Josh 10:10
,Azmon,e3da,Num 34:5
,Azor,EA6C,Matt 1:14
,Azotus,Eb7e,Acts 8:40
,Azzan,e3e2,Num 34:26
,Baal,Ebbf,Rom 11:4
,Baal_Gad,e44b,Josh 11:17
,Baal_Hanan,e169,Gen 36:38
,Baal_Meon,e3c8,Num 32:38
,Baal_Zephon,e0bd,Exod 14:2
,Baalah,e4d9,
,Baanah,e488,2 Sam 4:2
,Babel,ea67,Gen 11:9
,baby,E0a6,
,Babylon,EA67,Acts 7:43
,backward,E325,
,bad,E17D,
,bag,E26F,
,Balaam,eca1,2 Pet 2:15
,Balak,ebff,Rev 2:14
,Bamoth_land,e3c0,Num 21:19
,Bamoth_man,e2f6,
,bank,Ec55,
,banner,e2b1,
,baptism,E24A,
,baptize,E24A,
,Barabbas,E36D,Matt 27:16
,Barachiah,EA97,Matt 23:35
,Barak,ed02,Heb 11:32
,Barnabas,Ec2f,Acts 9:27
,Barsabbas,Eb69,"Acts 15:22,27"
,Bartholomew,E362,Matt 10:3
,Bartimaeus,E36B,Mark 10:46
,Basemath,edbd,Gen 26:34
,Bashan,e3a6,Num 21:33
,basket,E19F,
,Bathsheba,e4af,
,battle,E283,
,Bealoth,e4da,
,bear,ecef,
,bear_with,E227,
,beast,E103,
,beat,E0e4,
,beautiful,EA4A,
,beauty,EA4A,
,because,E066,
,beckon,E040,Luke 5:7
,become_person,E83A,
,become_thing,E839,
,bed,E122,
,Bedad,e1ee,Gen 36:35
,Beelzebul,E335,Matt 10:25
,Beer,e3a7,Num 21:16
,Beer_Lahai_Roi,eef9,Gen 16:14
,Beeri,edbe,Gen 26:34
,Beeroth,e42b,Deut 10:6
,Beersheba,edbf,Gen 26:33
,before,E107,
,beg,E21e,
,beginning,E231,
,behind,E116,
,Beker,efb1,Gen 46:21
,Bela_man,e1ed,Gen 14:2
,Bela_village,edc1,Gen 14:8
,believe,E06F,
,Believer,Eb90,Acts 5:14
,bell,e0be,
,belt,E29D,
,Ben_Ammi,edc2,Gen 19:38
,Ben_Hadad,e453,1 Kgs 15:18
,Ben_Hinnom,e4db,
,Ben_oni,e1a4,Gen 35:18
,Benaiah,e4b0,
,Bene_Jaakan,e3db,Num 33:31
,Benjamin,EB4B,Gen 35:18
,Beon,e3c9,Num 32:3
,Beor,eda3,Gen 36:32
,Bera,edc3,Gen 14:2
,Berea,Eb13,Acts 17:10
,Bered_city,e2d0,Gen 16:14
,Bered_man,efb2,I Chr 7:20
,Beriah,efb3,Gen 46:17
,Bernice,Eb9e,Acts 25:13
,beside,E117,
,best,E21F,
,Beth_Anath,e4dc,
쒸,Beth_Arabah,c4b8,
,Beth_Dagon,e4b9,
,Beth_Eden,e454,Amos 1:5
,Beth_Ezel,e43a,
,Beth_Haran,e479,Num 32:36
,Beth_Hoglah,e4ba,
,Beth_Horon,e42c,Josh 10:10
,Beth_Jeshimoth,e3dc,Num 33:49
,Beth_Leaphrah,e491,
,Beth_Pelet,e4bb,
,Beth_Peor,e423,Deut 3:29
,Beth_Shan,e4e7,
,Beth_Shemesh,e4f9,
,Bethany,E349,Matt  21:17
,Bethel,edc4,Gen 12:8
,Bethesda,Eba0,John 5:2
,Bethlehem,EA45,Matt 2:1
,Bethphage,E348,Matt 21:1
,Bethsaida,E340,Matt 11:21
,Bethuel_city,e1e0,I Chr 4:30
,Bethuel_man,e1a0,Gen 22:22
,betray,E195,
,betrayal,E195,
,better,E09E,
,between,E118,
,Bezalel,e0bf,Exod 31:2
,Bezer,e466,Deut 4:43
,Bible,E22c,
,big,E120,
,Bigthana,e492,Esth 6:2
,Bilhah,eefa,Gen 29:29
,Bilhan,efeb,Gen 36:27
,bird,E25C,
,Birsha,edc5,Gen 14:2
,birth,E235,
,Bithynia,EB48,Acts 16:7
,bitter,ecd2,
,Biziothiah,e4bc,
,black,Eb86,
,blaspheme,e05b,
,blasphemy,E05B,
,Blastus,Eb8d,Acts 12:20
,blemish,ed01,
,bless,E05C,
,blessed,Ea21,
,blessing,E05C,
,blind,E192,
,blood,E087,
,blue,ecda,
,boast,E14B,
,boat,E265,
,Boaz,EA54,Matt 1:5
,body,E143,
,Bohan,e4bd,
,bone,E0B2,
,book,E22A,
,born,E235,
,bottom,E119,
,bound,E25F,
,bow,E210,
,bow_arrow,ecc8,
,bowl,E384,
,box,E29E,
,boy,E001,
,boys,E002,
,Bozkath,e4be,
,Bozrah,efec,Gen 36:33
,branch,E246,
,brave,E196,
,bread,E05D,
,break,E0e1,
,breast,e2db,
,breastplate,Ecd5,
,breath,ecee,
,breathe,ecee,
,bribe,ebdb,
,brick,eefb,
,bride,E015,
,bright,E21B,
,bring,E088,
,bronze,Eb2c,
,brother,E006,
,brothers,E007,
,build,E17a,
,building,E0a1,
,Bukki,e3e3,Num 34:22
